ID	DOI	metalanguage	objectlanguage	license	creators	title	year	edited	superseded	pages	series	seriesnumber
181	10.5281/zenodo.1048173	eng		CC-BY	Svoboda, Tomáš, Biel, Łucja & Łoboda, Krzysztof 	Quality aspects in institutional translation	2017	(eds.)	False		Translation and Multilingual Natural Language Processing	8
182	10.5281/zenodo.1181783	eng		CC-BY	Paggio, Patrizia & Gatt, Albert 	The languages of Malta	2017	(eds.)	False		Studies in Diversity Linguistics	17
183	10.5281/zenodo.1471564	eng		CC-BY	Feldhausen, Ingo, Fliessbach, Jan & Vanrell, Maria del Mar 	Methods in prosody: A Romance language perspective	2018	(eds.)	False		Studies in Laboratory Phonology	6
184	10.5281/zenodo.1182583	eng		CC-BY	Sailer, Manfred & Markantonatou, Stella 	Multiword expressions: Insights from a multi-lingual perspective	2017	(eds.)	False		Phraseology and Multiword Expressions	1
186	10.5281/zenodo.3191825	eng		CC-BY	Guzmán Naranjo, Matías	Analogical classification in formal grammar	2018		False		Empirically Oriented Theoretical Morphology and Syntax	5
187	10.5281/zenodo.1180721	eng		CC-BY	Fox, Wendy	Can integrated titles improve the viewing experience?: Investigating the impact of subtitling on the reception and enjoyment of film using eye tracking and questionnaire data	2018		False		Translation and Multilingual Natural Language Processing	9
189	10.5281/zenodo.2546440	eng		CC-BY	Lenertová, Denisa, Meyer, Roland, Šimík, Radek & Szucsich, Luka 	Advances in formal Slavic linguistics 2016	2018	(eds.)	False		Open Slavic Linguistics	1
190	10.5281/zenodo.1314306	eng		CC-BY	Watters, John R.	East Benue-Congo: Nouns, pronouns, and verbs	2017		False		Niger-Congo Comparative Studies	1
191	10.5281/zenodo.1311704	eng		CC-BY	Pozdniakov, Konstantin	The numeral system of Proto-Niger-Congo: A step-by-step reconstruction	2018		False		Niger-Congo Comparative Studies	2
192	10.5281/zenodo.3365789	eng		CC-BY	Clem, Emily, Jenks, Peter & Sande, Hannah 	Theory and description in African Linguistics: Selected papers from the 47th Annual Conference on African Linguistics	2018	(eds.)	False		Contemporary African Linguistics	4
193	10.5281/zenodo.1211896	eng		CC-BY	Bacskai-Atkari, Julia	Deletion phenomena in comparative constructions: English comparatives in a cross-linguistic perspective	2018		False		Open Generative Syntax	3
194	10.5281/zenodo.2573677	eng		CC-BY	Vandevoorde, Lore	Semantic differences in translation: Exploring the field of inchoativity	2020		False		Translation and Multilingual Natural Language Processing	13
195	10.5281/zenodo.1193241	eng		CC-BY	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches. Second revised and extended edition.	2019		True		Textbooks in Language Sciences	1
196	10.5281/zenodo.2546446	eng		CC-BY	Nitzke, Jean	Problem solving activities in post-editing  and translation from scratch: A multi-method study	2018		False		Translation and Multilingual Natural Language Processing	12
197	10.5281/zenodo.2625683	eng		CC-BY	Tilsen, Sam	Syntax with oscillators and energy levels	2019		False		Studies in Laboratory Phonology	7
199	10.5281/zenodo.1306472	eng		CC-BY	Anderson, Stephen R. & de Saussure, Louis 	René de Saussure and the theory of word formation	2018	(eds.)	False		Classics in Linguistics	6
200	10.5281/zenodo.2600163	por		CC-BY	Ferreira, Marcelo	Curso de semântica formal	2019		False		Textbooks in Language Sciences	6
201	10.5281/zenodo.1402571	eng		CC-BY	Riesberg, Sonja, Shiohara, Asako & Utsumi, Atsuko 	Perspectives on information structure in Austronesian languages	2018	(eds.)	False		Studies in Diversity Linguistics	21
202	10.5281/zenodo.2579017	eng		CC-BY	Parmentier, Yannick & Waszczuk, Jakub 	Representation and parsing of multiword expressions: Current trends	2019	(eds.)	False		Phraseology and Multiword Expressions	3
203	10.5281/zenodo.1306618	eng		CC-BY	Irvine-Sobers, G. Alison	The acrolect in Jamaica: The architecture of phonological variation	2018		False		Studies in Caribbean Languages	1
204	10.5281/zenodo.1469527	eng		CC-BY	Markantonatou, Stella, Ramisch, Carlos, Savary, Agata & Vincze, Veronika 	Multiword expressions at length and in depth: Extended papers from the MWE 2017 workshop	2018	(eds.)	False		Phraseology and Multiword Expressions	2
209	10.5281/zenodo.1493281	eng		CC-BY	Fantinuoli, Claudio	Interpreting and technology	2018		False		Translation and Multilingual Natural Language Processing	11
210	10.5281/zenodo.1451308	eng		CC-BY	Juskan, Marten	Sound change, priming, salience: Producing and perceiving variation in Liverpool English	2018		False		Language Variation	3
212	10.5281/zenodo.1477799	eng	wara1294	CC-BY	Döhler, Christian	A grammar of Komnzo	2018		False		Studies in Diversity Linguistics	22
213	10.5281/zenodo.3546018	eng		CC-BY	Unterladstetter, Volker	Multi-verb constructions in Eastern Indonesia	2019		False		Studies in Diversity Linguistics	28
214	10.5281/zenodo.2654375	eng		CC-BY	McElvenny, James	Form and formalism in linguistics	2019		False		History and Philosophy of the Language Sciences	1
215	10.5281/zenodo.2640704	eng		CC-BY	Franco, Ludovico, Marchis Moreno, Mihaela & Reeve, Matthew 	Agreement, case and locality in the nominal and verbal domains	2019	(eds.)	False		Open Generative Syntax	4
216	10.5281/zenodo.2563698	eng		CC-BY	Guérin, Valérie	Bridging constructions	2018		False		Studies in Diversity Linguistics	24
219	10.5281/zenodo.2538324	eng		CC-BY	Bueno Holle, Juan José	Information structure in Isthmus Zapotec narrative and conversation	2019		False		Topics at the Grammar-Discourse Interface	3
220	10.5281/zenodo.2583788	eng		CC-BY	Schmidtke-Bode, Karsten, Levshina, Natalia, Michaelis, Susanne Maria & Seržant, Ilja 	Explanation in typology: Diachronic sources, functional motivations and the nature of the evidence	2018	(eds.)	False		Conceptual Foundations of Language Science	3
221	10.5281/zenodo.3232849	eng		CC-BY	Ben Hedia, Sonia	Gemination and degemination in English affixation: Investigating the interplay between morphology, phonology and phonetics	2019		False		Studies in Laboratory Phonology	8
223	10.5281/zenodo.3446224	eng		CC-BY	Di Garbo, Francesca, Olsson, Bruno & Wälchli, Bernhard 	Grammatical gender and linguistic complexity I: General issues and specific studies	2019	(eds.)	False		Studies in Diversity Linguistics	26
224	10.5281/zenodo.1421660	eng		CC-BY	Schäfer, Roland	Einführung in die grammatische Beschreibung des Deutschen: Dritte, überarbeitete und erweiterte Auflage	2018		False		Textbooks in Language Sciences	2
225	10.5281/zenodo.3374730	eng	mege1234	CC-BY	Daniel, Michael, Dobrushina, Nina & Ganenkov, Dmitry 	The Mehweb language: Essays on phonology, morphology and syntax	2018	(eds.)	False		Languages of the Caucasus	1
226	10.5281/zenodo.3520612	eng		CC-BY	Lotven, Samson, Bongiovanni, Silvina, Weirich, Phillip, Botne, Robert & Obeng, Samuel Gyasi 	African linguistics across the disciplines: Selected papers from the 48th Annual Conference on African Linguistics	2018	(eds.)	False		Contemporary African Linguistics	5
227	10.5281/zenodo.3265959	eng		CC-BY	Aguilar-Guevara, Ana, Pozas Loyo, Julia & Vázquez-Rojas Maldonado, Violeta 	Definiteness across languages	2019	(eds.)	False		Studies in Diversity Linguistics	25
228	10.5281/zenodo.3700413	eng	amar1273	CC-BY	Edwards, Owen	Metathesis and unmetathesis in Amarasi	2020		False		Studies in Diversity Linguistics Book	29
230	10.5281/zenodo.3932780	eng		CC-BY	Flick, Johanna	Die Entwicklung des Definitartikels im Althochdeutschen: Eine kognitiv-linguistische Korpusuntersuchung	2020		False		Empirically Oriented Theoretical Morphology and Syntax	6
231	10.5281/zenodo.2538330	eng		CC-BY	Kroeger, Paul R.	Analyzing meaning: An introduction to semantics and pragmatics. Second corrected and slightly revised edition	2019		False		Textbooks in Language Sciences	5
233	10.5281/zenodo.3247415	eng		CC-BY	Dellert, Johannes	Information-theoretic causal inference of  lexical flow	2019		False		Language Variation	4
234	10.5281/zenodo.2588383	deu		CC-BY-NC-ND	Müller, Stefan, Reis, Marga & Richter, Frank 	Beiträge zur deutschen Grammatik: Gesammelte Schriften von Tilman N. Höhle	2019	(eds.)	False		Classics in Linguistics	5
235	10.5281/zenodo.3744565	eng		CC-BY	Lucas, Christopher & Manfredi, Stefano 	Arabic and contact-induced change	2019	(eds.)	False		Contact and Multilingualism	1
236	10.5281/zenodo.5636761	spa		CC-BY	Sánchez Moreano, Santiago & Blestel, Élodie 	Prácticas lingüísticas heterogéneas: Nuevas perspectivas para el estudio del español en contacto con lenguas amerindias	2021	(eds.)	False		Contact and Multilingualism	4
237	10.5281/zenodo.3446230	eng		CC-BY	Di Garbo, Francesca, Olsson, Bruno & Wälchli, Bernhard 	Grammatical gender and linguistic complexity II: World-wide comparative studies	2019	(eds.)	False		Studies in Diversity Linguistics	27
239	10.5281/zenodo.3598577	eng		CC-BY	Schulte im Walde, Sabine & Smolka, Eva 	The role of constituents in multiword expressions: An interdisciplinary, cross-lingual perspective	2019	(eds.)	False		Phraseology and Multiword Expressions	4
242	10.5281/zenodo.2636394	eng		CC-BY	Wiland, Bartosz	The spell-out algorithm and lexicalization patterns: Slavic verbs and complementizers	2019		False		Open Slavic Linguistics	2
245	10.5281/zenodo.5154710	eng	sout2789	CC-BY	Ali, Mark, Grimm, Scott & Bodomo, Adams	A  dictionary and grammatical sketch of Dagaare	2021		False		African Language Grammars and Dictionaries	4
248	10.5281/zenodo.3243924	eng		CC-BY	Parikh, Prashant	Communication and content	2019		False		Topics at the Grammar-Discourse Interface	4
249	10.5281/zenodo.3268721	eng		CC-BY	Easterday, Shelece	Highly complex syllable structure: A typological and diachronic study	2019		False		Studies in Laboratory Phonology	9
250	10.5281/zenodo.3339225	eng	sanz1248	CC-BY	Forker, Diana	A grammar of Sanzhi Dargwa	2019		False		Languages of the Caucasus	2
251	10.5281/zenodo.3264909	eng		CC-BY	Morley, Rebecca L.	Sound structure and sound change: A modeling approach	2019		False		Conceptual Foundations of Language Science	4
252	10.5281/zenodo.3929261	eng		CC-BY	Gergel, Remus & Watkins, Jonathan 	Quantification and scales in change	2019	(eds.)	False		Topics at the Grammar-Discourse Interface	7
253	10.5281/zenodo.3478142	eng		CC-BY	Van Rooy, Raf	Greece’s labyrinth of language: A study in the early modern discovery of dialect diversity	2020		False		History and Philosophy of the Language Sciences	2
254	10.5281/zenodo.3528036	eng		CC-BY	Smith, Peter W., Mursell, Johannes & Hartmann, Katharina 	Agree to Agree: Agreement in the Minimalist Programme	2020	(eds.)	False		Open Generative Syntax	6
255	10.5281/zenodo.3364215	eng		CC-BY	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches. Third revised and extended edition	2019		False		Textbooks in Language Sciences	1
256	10.5281/zenodo.3560718	eng		CC-BY	Bross, Fabian	The clausal syntax of German Sign Language: A cartographic approach	2019		False		Open Generative Syntax	4
258	10.5281/zenodo.3744254	eng		CC-BY	Pineda, Anna & Mateu, Jaume 	Dative constructions in Romance and beyond	2020	(eds.)	False		Open Generative Syntax	7
259	10.5281/zenodo.5543318	eng		CC-BY	Müller, Stefan, Abeillé, Anne, Borsley, Robert D. & Koenig, Jean-Pierre 	Head-Driven Phrase Structure Grammar: The handbook	2021	(eds.)	False		Empirically Oriented Theoretical Morphology and Syntax	9
260	10.5281/zenodo.3763740	eng		CC-BY	Marušič, Franc, Mišmaš, Petra & Žaucer, Rok 	Advances in formal Slavic linguistics 2017	2019	(eds.)	False		Open Slavic Linguistics	3
261	10.5281/zenodo.3968344	eng		CC-BY	Bergqvist, Henrik & Kittilä, Seppo 	Evidentiality, egophoricity and engagement	2019	(eds.)	False		Studies in Diversity Linguistics	30
262	10.5281/zenodo.4638824	eng		CC-BY	Crysmann, Berthold & Sailer, Manfred 	One-to-many-relations in morphology, syntax, and semantics	2021	(eds.)	False		Empirically Oriented Theoretical Morphology and Syntax	7
263	10.5281/zenodo.4017493	eng		CC-BY	Floyd, Simeon, Rossi, Giovanni, Enfield, N. J., Kendrick, Kobin H., Blythe, Joe, Zinken, Jörg, Baranova, Julija & Dingemanse, Mark	Getting others to do things: A pragmatic typology of recruitments	2020		False		Studies in Diversity Linguistics	31
265	10.5281/zenodo.3889998	eng		CC-BY	Saturno, Jacopo	Utterance structure in initial L2 acquisition	2020		False		EuroSLA Studies	2
268	10.5281/zenodo.4138753	eng		CC-BY	Bardel, Camilla & Sánchez, Laura 	Third language acquisition: Age, proficiency and multilingualism	2020	(eds.)	False		EuroSLA Studies	3
270	10.5281/zenodo.3978908	eng		CC-BY	Wackernagel, Jacob, Walkden, George, Sevdali, Christina & Macleod, Morgan	On a law of Indo-European word order: Über ein Gesetz der indogermanischen Wortstellung	2020		False		Classics in Linguistics	7
271	10.5281/zenodo.3865067	eng		CC-BY	Kastner, Itamar	Voice at the interfaces: The syntax, semantics, and morphology of the Hebrew verb	2020		False		Open Generative Syntax	8
274	10.5281/zenodo.3894134	eng		CC-BY	Asoulin, Eran	Language and scientific explanation: Where does semantics fit in?	2020		False		Conceptual Foundations of Language Science	5
275	10.5281/zenodo.4041229	eng		CC-BY	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences I: Syntax inside the grammar	2020	(eds.)	False		Open Generative Syntax	9
276	10.5281/zenodo.4081038	eng		CC-BY	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences II: Between syntax and morphology	2020	(eds.)	False		Open Generative Syntax	10
277	10.5281/zenodo.4680264	eng		CC-BY	Bárány, András, Biberauer, Theresa, Douglas, Jamie & Vikner, Sten 	Syntactic architecture and its consequences III: Inside syntax	2021	(eds.)	False		Open Generative Syntax	11
278	10.5281/zenodo.4032298	eng		CC-BY	Edmonds, Amanda, Leclercq, Pascale & Gudmestad, Aarnes 	Interpreting language-learning data	2020	(eds.)	False		EuroSLA Studies	4
